DF,Distrito Federal
DF,Distrito Federal,Brasília
DF,Distrito Federal,Brasília,Taguatinga
DF,Distrito Federal,Brasília,Taguatinga Centro
DF,Distrito Federal,Brasília,Taguatinga Norte
DF,Distrito Federal,Brasília,Taguatinga Sul
DF,Distrito Federal,Brasília,Taguatingua Norte
DF,Distrito Federal,Brasília,Taguatinha
DF,Distrito Federal,Brasília,Taquari Tr 1
DF,Distrito Federal,Brasília,Taquatinga
DF,Distrito Federal,Brasília,Taquatinga Norte
DF,Distrito Federal,Brasília,Taquatinga Sul
DF,Distrito Federal,Brasília,Valparaíso
DF,Distrito Federal,Brasília,Valparaiso I - Etapa A
DF,Distrito Federal,Brasília,Varjão Torto
DF,Distrito Federal,Brasília,Verde
DF,Distrito Federal,Brasília,Vicente Pires
DF,Distrito Federal,Brasília,Vila Cauhy
DF,Distrito Federal,Brasília,Vila da Telebrasilia
DF,Distrito Federal,Brasília,Vila Estrutural
DF,Distrito Federal,Brasília,Vila Maria
DF,Distrito Federal,Brasília,Vila Nova
DF,Distrito Federal,Brasília,Vila Planalto
DF,Distrito Federal,Brasília,Vila Santa Rita
DF,Distrito Federal,Brasília,Vila Vicentina
DF,Distrito Federal,Brasília,W 3 Sul
DF,Distrito Federal,Brasília,W3 Sul
DF,Distrito Federal,Brasília,Z Civico-Administrat
DF,Distrito Federal,Brasília,Zona Cícico-Administrativ
DF,Distrito Federal,Brasília,Zona Cícico-Administrativa
DF,Distrito Federal,Brasília,Zona Civica Adm.
DF,Distrito Federal,Brasília,Zona Civico Administrativa
DF,Distrito Federal,Brasília,Zona Industrial
DF,Distrito Federal,Brasília,Zona Industrial (Guará)
DF,Distrito Federal,Brasília,Zona Industrial (Guará)
DF,Distrito Federal,Brasília,Zona Rural
DF,Distrito Federal,Asa Norte
DF,Distrito Federal,Asa Norte,Asa Norte
DF,Distrito Federal,Asa Norte,Caixa D' Agua
DF,Distrito Federal,Asa Norte,Sem Bairro
DF,Distrito Federal,Asa Norte,Zona Industrial
DF,Distrito Federal,Asa Sul
DF,Distrito Federal,Asa Sul,Acp Telebrasília
DF,Distrito Federal,Asa Sul,Asa Sul
DF,Distrito Federal,Asa Sul,Sem Bairro
DF,Distrito Federal,Brasília
DF,Distrito Federal,Brasília,0
DF,Distrito Federal,Brasília,A Claras
DF,Distrito Federal,Brasília,A Norte
DF,Distrito Federal,Brasília,A Sul
DF,Distrito Federal,Brasília,Acp Ceb
DF,Distrito Federal,Brasília,Acp Dfl
DF,Distrito Federal,Brasília,Acp Telebrasília
DF,Distrito Federal,Brasília,Acp Velhacap
DF,Distrito Federal,Brasília,ADE
DF,Distrito Federal,Brasília,Aeroporto
DF,Distrito Federal,Brasília,Águas Clara
DF,Distrito Federal,Brasília,Águas Claras
DF,Distrito Federal,Brasília,Ala Norte
DF,Distrito Federal,Brasília,America iii
DF,Distrito Federal,Brasília,Area Desenvolvimento
DF,Distrito Federal,Brasília,Área Especial
DF,Distrito Federal,Brasília,Área Octogonal
DF,Distrito Federal,Brasília,Areal
DF,Distrito Federal,Brasília,Areal Águas Claras
DF,Distrito Federal,Brasília,Areal(águas claras)
DF,Distrito Federal,Brasília,Asa
DF,Distrito Federal,Brasília,Asa Azul
DF,Distrito Federal,Brasília,Asa Norte
